indicator_key,indicator,date,value,stock,source
enterprise_long_loan,企业中长期贷款,2026-06-01,,1236180.78,中国人民银行 中国:金融机构资金运用:各项贷款:境内贷款:企(事)业单位贷款:中长期贷款:人民币余额 via Wind API
social_financing,社融,2024-01-01,9.5,,中国人民银行 中国:社会融资规模存量:同比 via Wind API
social_financing,社融,2024-02-01,9.0,,中国人民银行 中国:社会融资规模存量:同比 via Wind API
social_financing,社融,2024-03-01,8.7,,中国人民银行 中国:社会融资规模存量:同比 via Wind API
social_financing,社融,2024-04-01,8.3,,中国人民银行 中国:社会融资规模存量:同比 via Wind API
social_financing,社融,2024-05-01,8.4,,中国人民银行 中国:社会融资规模存量:同比 via Wind API
social_financing,社融,2024-06-01,8.1,,中国人民银行 中国:社会融资规模存量:同比 via Wind API
social_financing,社融,2024-07-01,8.2,,中国人民银行 中国:社会融资规模存量:同比 via Wind API
social_financing,社融,2024-08-01,8.1,,中国人民银行 中国:社会融资规模存量:同比 via Wind API
social_financing,社融,2024-09-01,8.0,,中国人民银行 中国:社会融资规模存量:同比 via Wind API
social_financing,社融,2024-10-01,7.8,,中国人民银行 中国:社会融资规模存量:同比 via Wind API
social_financing,社融,2024-11-01,7.8,,中国人民银行 中国:社会融资规模存量:同比 via Wind API
social_financing,社融,2024-12-01,8.0,,中国人民银行 中国:社会融资规模存量:同比 via Wind API
social_financing,社融,2025-01-01,8.0,,中国人民银行 中国:社会融资规模存量:同比 via Wind API
social_financing,社融,2025-02-01,8.2,,中国人民银行 中国:社会融资规模存量:同比 via Wind API
social_financing,社融,2025-03-01,8.4,,中国人民银行 中国:社会融资规模存量:同比 via Wind API
social_financing,社融,2025-04-01,8.7,,中国人民银行 中国:社会融资规模存量:同比 via Wind API
social_financing,社融,2025-05-01,8.7,,中国人民银行 中国:社会融资规模存量:同比 via Wind API
social_financing,社融,2025-06-01,8.9,,中国人民银行 中国:社会融资规模存量:同比 via Wind API
social_financing,社融,2025-07-01,9.0,,中国人民银行 中国:社会融资规模存量:同比 via Wind API
social_financing,社融,2025-08-01,8.8,,中国人民银行 中国:社会融资规模存量:同比 via Wind API
social_financing,社融,2025-09-01,8.7,,中国人民银行 中国:社会融资规模存量:同比 via Wind API
social_financing,社融,2025-10-01,8.5,,中国人民银行 中国:社会融资规模存量:同比 via Wind API
social_financing,社融,2025-11-01,8.5,,中国人民银行 中国:社会融资规模存量:同比 via Wind API
social_financing,社融,2025-12-01,8.3,,中国人民银行 中国:社会融资规模存量:同比 via Wind API
social_financing,社融,2026-01-01,8.2,,中国人民银行 中国:社会融资规模存量:同比 via Wind API
social_financing,社融,2026-02-01,8.2,,中国人民银行 中国:社会融资规模存量:同比 via Wind API
social_financing,社融,2026-03-01,7.9,,中国人民银行 中国:社会融资规模存量:同比 via Wind API
social_financing,社融,2026-04-01,7.8,,中国人民银行 中国:社会融资规模存量:同比 via Wind API
social_financing,社融,2026-05-01,7.7,,中国人民银行 中国:社会融资规模存量:同比 via Wind API
social_financing,社融,2026-06-01,7.4,,中国人民银行 中国:社会融资规模存量:同比 via Wind API
